Familia,Producto Maestro (Nombre),Unidad de Medida,Ejemplo Item Completo
"TELAS","Microfibra RV Waterproof","kg", "Microfibra RV Waterproof"
"TELAS","Microfibra Short","kg", "Microfibra Short"
"TELAS","INTERLOCK Grueso","kg", "INTERLOCK Grueso"
"TELAS","DELTA","kg", "DELTA"
"TELAS","GRID","kg", "GRID"
"TELAS","NAGASAKI","kg", "NAGASAKI 24 **LONAS, VINILOS, OTROS** FRONTLIGTH BRI 1,60 (Reverso blanco)"
"LONAS, VINILOS Y OTROS","FRONTLIGTH MAT","mts", "FRONTLIGTH MAT1,60 (Reverso blanco)"
"LONAS, VINILOS Y OTROS","FRONTLIGTH BRI","mts", "FRONTLIGTH BRI 1,60 (Reverso gris)"
"LONAS, VINILOS Y OTROS","LONA FRONT","mts", "LONA FRONT 3.20 BRILLO"
"LONAS, VINILOS Y OTROS","LONA MESH","mts", "LONA MESH 3.20"
"LONAS, VINILOS Y OTROS","LONA PU","mts", "LONA PU 3.20"
"LONAS, VINILOS Y OTROS","VINILO BRILLANTE","mts", "VINILO BRILLANTE"
"LONAS, VINILOS Y OTROS","VINILO MATE","mts", "VINILO MATE"
"LONAS, VINILOS Y OTROS","VINILO MICROPERFORADO","mts", "VINILO MICROPERFORADO"
"LONAS, VINILOS Y OTROS","Canvas","mts", "Canvas 0,91"
"LONAS, VINILOS Y OTROS","Vinilo Brillo R/Blanco","mts", "Vinilo Brillo R/Blanco x50m (1,52)"
"LONAS, VINILOS Y OTROS","Vinilo Mate R/Blanco","mts", "Vinilo Mate R/Blanco x50m (1,52)"
"LONAS, VINILOS Y OTROS","Banner Pet semibrillo","mts", "Banner Pet semibrillo x50m (0,91)"
"LONAS, VINILOS Y OTROS","Banner Pet mate","mts", "Banner Pet mate x50m (0,91)"
"LONAS, VINILOS Y OTROS","Back Pet","", "Back Pet x50m (0,915)"
"LONAS, VINILOS Y OTROS","Vinilo Vehicular","mts", "Vinilo Vehicular x58m (1,52)"
"LONAS, VINILOS Y OTROS","Vinilo Brillo A/Gris","mts", "Vinilo Brillo A/Gris x50m (1,37)"
"LONAS, VINILOS Y OTROS","Vinilo Mate A/Gris","mts", "Vinilo Mate A/Gris x50m (1,52)"
"LONAS, VINILOS Y OTROS","Papel de Foto","lts", "Papel de Foto x30m (0,91)"
"LONAS, VINILOS Y OTROS","CAR FLAG POLE","", "CAR FLAG POLE 80X200"
"LONAS, VINILOS Y OTROS","STEEL ROLL","", "STEEL ROLL 20 0"
"TPU","WHITE MATTE/SHINY TPU","mts", "WHITE MATTE/SHINY TPU"
"TPU","HOT MELT TPU FILM","lts", "HOT MELT TPU FILM"
"TPU","FILM GOLD TPU","lts", "FILM GOLD TPU"
"TPU","FILM SILVER TPU","lts", "FILM SILVER TPU"
"TPU","FILM PROTECTOR TPU","lts", "FILM PROTECTOR TPU"
"TPU","FILM LOCALIZADOR TPU","lts", "FILM LOCALIZADOR TPU 787"
"ARTICULOS","MEDIA ANTIDESLIZANTE NEGRA","uds", "MEDIA ANTIDESLIZANTE NEGRA"
"ARTICULOS","MEDIA ANTIDESLIZANTE","uds", "MEDIA ANTIDESLIZANTE BLANCO"
"ARTICULOS","CAÑA NEGRA","", "CAÑA NEGRA"
"ARTICULOS","CAÑA BLANCA","", "CAÑA BLANCA"
"ARTICULOS","CAÑA","uds", "CAÑA AZUL FRANCIA"
"ARTICULOS","SHORT","uds", "SHORT NEGRO S"
"ARTICULOS","MAQUINA PATILLERA","uds", "MAQUINA PATILLERA"
"ARTICULOS","Estructuras Roll Up Fuerte","uds", "Estructuras Roll Up Fuerte 80x200 cm Estructuras Roll Up común de aluminio 80x200 cm Backing Pop Up (Soporte para Tela) Palo de Bandera para Auto CAJAS Auriculares Gorras de invierno"
